id,counts
UCoCNhKT3dQIoXXdv4YUu_qg,9297
UCuAXFkgsw1L7xaCfnd5JJOw,1320257
UCfu_ibzZmUMSIzZVAbzm_ig,3204
UChbyN5sHI_cdfPCvrcgFNIw,5064
UCDlE9xbnvzuY82kJHDRbl0Q,58
UCK3inMNRNAVUleEbpDU1k2g,43
UCUFexVqGkYQltE2qU7SeY_w,31
UC8HpVK4LFl1s1IbudzSjR9Q,63
UCXDFQQ2-I18FRYeIMCXVKPQ,14075
UCBIFwaIXDD_loRoo1b1VmMw,56
UCarKRXbtg-tAXK1YGzzo6VQ,192
UCLwFcAN0aLBxzu5xd3ISk-A,182
UCPVZ96ajGrah7mKqQfxbhww,11
UCQsh3ajcGvxm-BdaFS5QhxA,9
UCHY_zuXXPafTD0mNTWjIU7A,28
UCzlSGCgkLcpV-aajtLcjhEw,896
UCJjjxrjyjMMKFzq23xsaK-Q,8375
UCqIdYNJUq-KUVv36R0JwI2A,44
UC8SScGNpweZmFg6VFP2lXyw,1480
UC2RctBe0AVEVPt0iprGONXQ,8
UCCj956IF62FbT7Gouszaj9w,57
UCpPmrbnoicvhkGRiYLoi8WA,486
UCpp1GoykvTBuPiZt3FiFHjg,8
UCmSp4bDxS9R0jpeZEvkut2g,27662
UComyNmfvSPtHaqkxsTIGY-A,16680
UCKKXBbKDDk7b4VhD6SKmTUw,12
UCDzdRLILLWlHxXnj3HhXW0A,302
UC_yurx-FMwwLUM3-uqM_lYw,2321
UCccGnj6mw4RHQHI_2mKfjCQ,326
UCi67ij8SNFsKwXfn5t860_A,1528
UC1eMlOVfeMGtS68VmriZPzQ,82
UCFtspC3ELkhwSZ5BB90BFxg,4
UC8CTZ_L7Noxd2jPjgSWEtpg,203
UCA_H7S3E_a3OqSg35uF2JiQ,199
UC5ir55WirV0-irkXXyQ8aIA,150
UCnMzrX07GH4XRg0cPVtrE7Q,356
UC0ivyRZvYvGc7pM-GZ65FrA,19
UCsY3k5wn63pD6fFi1d-_NKg,5
UCwJ1a-8BlJCZqMmLDLDvhvA,359
UCyI4gi0BtlKiUl6KgtuVIUw,19
UCH4qcLQt-yeup_fENRIKBjw,9
UCzEwqz_hAMnv_dAGhQJniUQ,20
UCdHupRfg7BWo-VvsM4IysGg,2876
UC08aVt89FxK2f9WJCq_zhww,17
UCIzzmKEG3ojW1u9OKyvtHMA,17
UCrbFWBUOpnBxc22IK-qwIEw,18
UCLxZ5uCxBfJo9NueRX4ZcwA,22
UCSPJI3LsdpuH57ga65O7-xA,165
UC6gGoSoDXYk8TOszDobI_Iw,45
UCGa9YJJiR-Jec5y10GQxEPg,24
UCm04oDTF0etBAloGRJHp0fg,830
UCrChEpfkU2GSIyB9eToRD3g,16
UCLr8GNCR7Pc4qb8mJcErklw,22
UCJMjp_3XLlQJg6pPfuD4L1Q,951
UCsZRQh4EPYQGCmGEBDhDGrg,40
UC1sGq_H-cSLNT9PANH8b0fg,28
UCNo5PGwGmfnEprEUUb9AGgw,18
UCZil07Hq4ESfFOmbbe-2Umg,24
UC6sJPJ1F8rHi9MwOKjEoHDA,52
UCK3emrAY8KxtR1EffQxCWbw,8467
UCBJKwTVxAvgW6FC1-lYWTPg,8147
UCY2ekMrWhsUVHwO3J3-PCzQ,262
UCuHwD4iWXylu_c6HmNQGxJQ,40
UC0pHpxSt_4gd63WylQL0cVQ,5041
UC4remZgUEmrF-a9_rkboGiA,471
UCg8xaLuLPSqDki04Ulo2ywg,6
UCjRO1LHScDOXa-hR8u0ZO2A,897
UCxnNQpMtVrZRZh3aOkmnK4w,33
UCNlSV93ML58MGCtFFvdlpdQ,418
UCwQHLt1rcX7wqZtYt3N_uUg,6772
UCn8zNIfYAQNdrFRrr8oibKw,335
UC_ldIdP2ocD5OjBZk2G_MeA,406
UCGlrmkGiIu-FFAxcifnng4g,21883
UCiBRvd_WgBNiq0CPmCVSFGw,7
UCsLqEmX_qgx2x97FWMxU49g,10
UCU3ZfXlcCB2vAAmGJlKfXrw,384
UCxVyODZb3Vt4Ae56gPgYnTw,106
UCHOgE8XeaCjlgvH0t01fVZg,30
UCwN4O7RvP81MOyoL16eeLjA,16
